query,position,title,link,price,currency,rating,reviews,store_name,store_rating,shipping,on_sale,original_price
macbook pro m3,1,Apple MacBook Pro M3 Pro chip,https://www.google.com/shopping/product/11075226300425013050,1699.0,,4.8,5500,,,,,
macbook pro m3,2,Apple 14-Inch MacBook Pro Apple M3 Chip,https://www.google.com/shopping/product/12153035126592663857,1499.0,,4.8,2000,,,,,
macbook pro m3,3,"Apple MacBook Pro 16"" M3 CPU GPU",https://www.google.com/shopping/product/5698736293440857557,2319.95,,4.8,2000,,,,,
macbook pro m3,4,Apple MacBook Pro 14-inch M3 Pro Chip (Refurbished),https://www.google.com/shopping/product/9312965744321007974,1949.0,,4.8,4400,,,,,
macbook pro m3,5,Apple MacBook Air M3 chip,https://www.google.com/shopping/product/10482692404153309227,898.0,,4.8,4900,,,,,
macbook pro m3,6,"Apple 14"" MacBook Pro (M3, Space Gray)",,1349.0,,4.8,3500,,,,,
macbook pro m3,7,Apple MacBook Pro M3 - New Electronics | Color: Silver,,1200.0,,,,,,,,
macbook pro m3,8,"Apple MacBook Pro 14"" M3 Pro (Late 2023)",https://www.google.com/shopping/product/12512654444516517402,1805.99,,5.0,1,,,,,
macbook pro m3,9,Apple MacBook Pro M3 - Certified Used Refurbished at UpTrade,,1299.0,,4.8,1800,,,,,
macbook pro m3,10,14-inch MacBook Pro M3 8-Core 8GB RAM,,1299.0,,,,,,,,
macbook pro m3,11,MacBook Pro (2023) 14-inch - Apple M3 Pro 12-core and 18-core GPU - 18GB RAM - SSD 1000GB,,1799.0,,4.8,4400,,,,,
macbook pro m3,12,"Apple MacBook Pro 14.2"" M3 Pro 14-Core GPU",https://www.google.com/shopping/product/15592793641210565038,1369.0,,4.8,876,,,,,
macbook pro m3,13,14-inch MacBook Pro Apple M3 Pro Chip 16GB RAM 1 TB SSD Eligibility for AppleCare+,,1449.0,,4.8,2000,,,,,
macbook pro m3,14,Apple Macbook Pro M3 A2991 (ez5000930),,1999.99,,4.5,1700,,,,,
macbook pro m3,15,"14"" 2023, MacBook Pro, MTL73LL/A, Apple M3, 8GB, 512GB SSD, 10C Computer Overhauls",,974.95,,4.8,4400,,,,,
macbook pro m3,16,"Apple 14"" MacBook Pro (M3 Pro, Space Black)",,2099.0,,4.8,4400,,,,,
macbook pro m3,17,"Apple 16"" MacBook Pro (M3 Max, Space Black)",,4299.0,,4.8,861,,,,,
macbook pro m3,18,Apple MacBook Pro 16-inch M3 Pro Chip (Refurbished),https://www.google.com/shopping/product/12508684278093115653,2379.0,,,,,,,,
