query,position,title,link,price,currency,rating,reviews,store_name,store_rating,shipping,on_sale,original_price
macbook pro m3,19,"Apple 14"" MacBook Pro (M3, Silver)",,1799.0,,,,,,,,
macbook pro m3,20,Apple MacBook Pro 14-inch M3 Max Chip (Refurbished),https://www.google.com/shopping/product/2570671046548670890,2629.0,,4.8,4400,,,,,
macbook pro m3,21,"Apple 16"" MacBook Pro (M3 Max, Silver)",,4599.0,,4.8,2000,,,,,
macbook pro m3,22,Apple MacBook Pro M3 14” - Electronics,,1750.0,,4.8,861,,,,,
macbook pro m3,23,"Apple 14"" MacBook Pro (M3 Max, Silver)",,4499.0,,4.8,2000,,,,,
macbook pro m3,24,"Apple MacBook Pro M3 PRO 16""",,2499.0,,,,,,,,
macbook pro m3,25,"MacBook Pro Late 2023 (M3) - 14"" - Black - 512 GB",,1306.0,,,,,,,,
macbook pro m3,26,Apple MacBook Pro M3 Pro - Electronics,,1425.0,,,,,,,,
macbook pro m3,27,Apple MacBook Pro M3 Pro - New Electronics | Color: Silver,,1800.0,,4.8,2000,,,,,
macbook pro m3,28,"Apple 16"" MacBook Pro: M3 Max Chip with 16-Core CPU and 40-Core GPU, 1TB - Silver",,3479.99,,4.8,2000,,,,,
macbook pro m3,29,Apple MacBook Pro 14-inch M3 Pro with 11-Core CPU and 14-Core GPU (Late 2023),,1649.99,,4.8,4400,,,,,
macbook pro m3,30,"Apple MacBook Pro 14.2"" with M3 Chip (Late 2023) Space Gray 8-Core / 10-Core 16GB 70W Adapter 1TB SSD",,1699.0,,4.8,2000,,,,,
macbook pro m3,31,"Apple 14"" MacBook Pro Space Gray 2023 Apple M3 4.05GHz 8GB RAM 512GB Nvme/ssd",,1160.99,,4.8,2000,,,,,
macbook pro m3,32,"Apple 14"" MacBook Pro Kit with Microsoft 365 Personal 1-Year License (M3, Space Gray)",,1388.99,,4.8,3500,,,,,
macbook pro m3,33,"MacBook Pro 2023 (M3) 14"" Laptop - 12 Months Warranty",,1753.49,,4.8,3500,,,,,
macbook pro m3,34,Apple MacBook Pro M3 18GB 512gb - Electronics,,1600.0,,,,,,,,
macbook pro m3,35,"MacBook Pro 16"" M3 Pro 18gb 512gb",,849.0,,,,,,,,
macbook pro m3,36,"14-inch MacBook Pro: Apple M3 chip with 8‐core CPU and 10‐core GPU, 512GB SSD",,1499.0,,,,,,,,
macbook pro m3,37,"Apple Macbook Pro 16"" M3 Pro 12-Core CPU 18-Core GPU 18GB 512GB - Red",,2899.99,,4.8,2000,,,,,
macbook pro m3,38,MacBook Pro (2023) 16-inch - Apple M3 Max 16-core and 40-core GPU - 128GB RAM - SSD 4000GB,,4620.47,,4.8,861,,,,,
macbook pro m3,39,Apple MacBook Pro 2023 - Apple M3 Pro chip: 11-core CPU/14-Core GPU - 512GB - Space Black - 8GB RAM - Excellent - 3 Thunderbolts Laptop - 12 Months,,1427.99,,4.8,2000,,,,,
macbook pro m3,40,Apple MacBook Pro (14-inch) – Apple M3 Chip (2023),,1429.0,,4.8,2000,,,,,
macbook pro m4,1,Apple MacBook Pro 16 M4,https://www.google.com/shopping/product/10185965861930766405,2249.0,,4.8,227,,,,,
macbook pro m4,2,Apple 14-inch MacBook Pro Apple M4 chip,https://www.google.com/shopping/product/6458501044423237976,1999.0,,4.8,449,,,,,
macbook pro m4,3,"Apple MacBook Pro 16.2"" M4 Pro Chip (Late 2024)",https://www.google.com/shopping/product/6790205534318959423,3099.0,,,,,,,,
macbook pro m4,4,"Apple 14"" MacBook Pro (M4 Pro, Space Black)",,1949.0,,,,,,,,
macbook pro m4,5,16-inch MacBook Pro with M4 Pro or Max - Nano-texture Display - Silver M4 Pro with 14-core CPU / 20-core GPU / 48GB memory / 2TB Storage,,3649.0,,4.8,220,,,,,
macbook pro m4,6,Apple MacBook Pro 16 M4 Max,https://www.google.com/shopping/product/5482574490125651778,2299.0,,4.8,220,,,,,
macbook pro m4,7,14-inch MacBook Pro M4 10 CPU / 10 GPU,,1499.0,,,,,,,,
macbook pro m4,8,Apple MacBook Pro - M4,,1965.0,,4.8,2000,,,,,
macbook pro m4,9,"Apple 16"" Macbook Pro (M4 Pro, Space Black)",,2899.0,,4.8,220,,,,,
macbook pro m4,10,"Apple MacBook Pro 16.2"", M4 Pro Chip with 14-Core CPU and 20-Core GPU, Late 2024 Space Black Nano-Texture Display 48GB 2TB SSD",,3649.0,,,,,,,,
macbook pro m4,11,Apple 2024 MacBook Pro Laptop with M4 CPU GPU,https://www.google.com/shopping/product/4774392620081575261,2199.0,,4.8,449,,,,,
macbook pro m4,12,Apple Macbook Pro 16-inch Apple M4 Pro Chip Built For Apple,,3088.88,,4.8,220,,,,,
macbook pro m4,13,University of Alabama 16-Inch Macbook Pro M4 Pro Chip With 14-Core Cpu And 20-Core Gpu/48Gb Unified Memory in Silver size 512Gb,,2699.0,,,,,,,,
macbook pro m4,14,"Apple 14"" MacBook Pro with Microsoft 365 Personal 1-Year License (M4 Pro, Space Black)",,2188.99,,4.8,449,,,,,
macbook pro m4,15,14-inch MacBook Pro - M4 Max - Silver - Standard Glass 16-Core CPU and 40-Core GPU / 36GB / 8TB SSD,,5699.99,,4.8,3500,,,,,
macbook pro m4,16,Apple 16IN MBP M4 Pro 16”,,2499.0,,,,,,,,
macbook pro m4,17,16-inch MacBook Pro M4 Pro 14 CPU / 20 GPU,,2299.0,,,,,,,,
macbook pro m4,18,Apple MacBook Pro M4 16-Inch,,2299.0,,,,,,,,
macbook pro m4,19,"Apple 16"" Macbook Pro with Microsoft 365 Personal 1-Year License (M4 Pro, Space Black)",,2938.99,,4.8,220,,,,,
macbook pro m4,20,"MacBook Pro M4 Pro 16-inch (2024) - 24GB RAM, 512GB SSD - Space Black - Apple - Apple",https://www.google.com/shopping/product/4986231429258893818,2534.96,,4.8,2000,,,,,
macbook pro m4,21,"Sealed 2024 Apple Macbook Pro 14"" Space Black M4 Pro 14cpu 20gpu 24gb",,2599.99,,4.8,220,,,,,
macbook pro m4,22,"Apple 16"" Macbook Pro M4 Pro",,2499.99,,,,,,,,
macbook pro m4,23,"Apple 16"" Macbook Pro (M4 Pro, Silver)",,3099.0,,,,,,,,
macbook pro m4,24,"Apple 14"" MacBook Pro (M4 Pro, Space Black, NT)",,2149.0,,,,,,,,
macbook pro m4,25,Apple Macbook Pro 14-inch Apple M4 Pro Chip Built For Apple,,3148.7,,4.8,449,,,,,
