position,title,url,source_name,uploaded,uploaded_utc,snippet,thumbnail_url
17,2025 Issue Preview: Artificial Intelligence,https://conduitstreet.mdcounties.org/2024/12/27/2025-issue-preview-artificial-intelligence/,Maryland Association of Counties,Maryland Association of Counties,2024-12-28T07:49:59.039Z,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
18,I used Apple Image Playground to send AI holiday greetings to my whole family and they were very confused,https://www.techradar.com/computing/artificial-intelligence/i-used-apple-image-playground-to-send-ai-holiday-greetings-to-my-whole-family-and-they-were-very-confused,TechRadar,TechRadar,2024-12-28T07:49:59.039Z,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
19,OpenAI Board Considering Transforming For-Profit Into Delaware Public Benefit Corporation,https://www.pymnts.com/artificial-intelligence-2/2024/openai-board-considering-transforming-for-profit-into-delaware-public-benefit-corporation/,PYMNTS.com,PYMNTS.com,2024-12-28T07:49:59.039Z,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
20,Tech companies face tough AI copyright questions in 2025,https://www.reuters.com/legal/litigation/tech-companies-face-tough-ai-copyright-questions-2025-2024-12-27/,Reuters,Reuters,2024-12-28T07:49:59.039Z,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
21,Proposed state law would regulate artificial intelligence in Texas,https://www.bizjournals.com/dallas/news/2024/12/27/artificial-intelligence-ai-texas-bill-legislature.html,The Business Journals,The Business Journals,2024-12-28T07:49:59.039Z,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
22,Artificial Intelligence in Biology: From Artificial Neural Networks to AlphaFold,https://www.the-scientist.com/artificial-intelligence-in-biology-from-artificial-neural-networks-to-alphafold-72435,The Scientist Magazine,The Scientist Magazine,2024-12-28T07:49:59.039Z,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
23,'AI can protect you': Expert highlights safety benefits of Artificial Intelligence,https://wjla.com/news/local/ai-safety-retail-theft-smash-grab-robberies-prevention-tool-artificial-intelligence-benefits-security-restaurant-detect-unusual-activity-notify-authorities-gunshot-protect-customers-police-law,WJLA,WJLA,2024-12-28T07:49:59.039Z,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
24,How Durham’s next 27-story skyscraper is being built using artificial intelligence,https://www.newsobserver.com/news/business/article297505768.html,News & Observer,News & Observer,2024-12-28T07:49:59.039Z,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
25,Texas Moves To Rein In Artificial Intelligence,https://www.reformaustin.org/texas-legislature/texas-moves-to-rein-in-artificial-intelligence/,Reform Austin,Reform Austin,2024-12-28T07:49:59.039Z,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
26,"Best Companies Of 2024: Artificial Intelligence Plays, Consumer Stocks Stood Out",https://www.investors.com/research/best-companies-of-2024/,Investor's Business Daily,Investor's Business Daily,2024-12-28T07:49:59.039Z,,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
