query,position,title,link,price,currency,rating,reviews,store_name,store_rating,shipping,on_sale,original_price
macbook pro m3,1,Apple 14-Inch MacBook Pro Apple M3 Chip,https://www.google.com/shopping/product/7994279727918237920,1399.0,,4.8,2000,,,,,
macbook pro m3,2,Apple MacBook Pro M3 Pro chip,https://www.google.com/shopping/product/11075226300425013050,1599.0,,4.8,5500,,,,,
macbook pro m3,3,"Apple MacBook Pro 16"" M3 CPU GPU",https://www.google.com/shopping/product/5698736293440857557,2319.95,,4.8,2000,,,,,
macbook pro m3,4,Apple MacBook Pro 14-inch M3 Pro Chip (Refurbished),https://www.google.com/shopping/product/1492926159343824680,1949.0,,4.8,4400,,,,,
macbook pro m3,5,Apple MacBook Air M3 chip,https://www.google.com/shopping/product/10482692404153309227,898.0,,4.8,4900,,,,,
macbook pro m3,6,MacBook Pro (2023) 14-inch - Apple M3 8-core and 10-core GPU - 8GB RAM - SSD 512GB,,1149.0,,4.8,2000,,,,,
macbook pro m3,7,Apple MacBook Pro 16 M3 PRO A2991 (2023) | 16 in | Gray | 16-16.9 in | 2023 Model | ORIGNAL LCD,,549.99,,,,,,,,
macbook pro m3,8,14-inch MacBook Pro M3 Pro 11-Core 18GB 512GB,,1699.0,,,,,,,,
macbook pro m3,9,"Apple MacBook Pro 14"" M3 Pro (Late 2023)",https://www.google.com/shopping/product/12512654444516517402,1805.99,,5,1,,,,,
macbook pro m3,10,Apple MacBook Pro M3 - New Electronics | Color: Silver,,1200.0,,,,,,,,
macbook pro m3,11,"Apple 14"" MacBook Pro (M3 Pro, Space Black)",,1899.0,,4.8,4400,,,,,
macbook pro m3,12,"Apple 2023 MacBook Pro Laptop M3 chip with 8‐core CPU, 10‐core GPU: 14.2-inch Liquid Retina XDR Display, 16GB Unified Memory, 1TB SSD Storage, Space",,1699.94,,,,,,,,
macbook pro m3,13,Apple MacBook Pro 16-inch M3 Pro Chip (Refurbished),https://www.google.com/shopping/product/16478895086913453732,2039.0,,,,,,,,
macbook pro m3,14,"Apple MacBook Pro 14.2"" M3 Pro 14-Core GPU",https://www.google.com/shopping/product/15592793641210565038,1369.0,,4.8,876,,,,,
macbook pro m3,15,"Apple MacBook Pro M3 PRO 16""",,2499.0,,,,,,,,
macbook pro m3,16,University of Alabama 14-Inch Macbook Pro M3 Chip With 8-Core Cpu And 10-Core Gpu/8Gb Unified Memory in Space Gray size 512Gb,,1199.0,,,,,,,,
macbook pro m3,17,"Apple 16"" MacBook Pro: M3 Max Chip with 16-Core CPU and 40-Core GPU, 1TB - Silver",,3479.99,,4.8,2000,,,,,
macbook pro m3,18,"14-inch MacBook Pro: Apple M3 chip with 8‐core CPU and 10‐core GPU, 512GB SSD",,1499.0,,,,,,,,
macbook pro m3,19,Apple MacBook Pro M3 - Certified Used Refurbished at UpTrade,,1299.0,,4.8,1800,,,,,
macbook pro m3,20,"Apple 16"" MacBook Pro (M3 Max, Space Black)",,4299.0,,4.8,861,,,,,
macbook pro m3,21,"Apple MacBook Pro 14.2"" with M3 Chip (Late 2023) Space Gray 8-Core / 10-Core 16GB 70W Adapter 1TB SSD",,1699.0,,4.8,2000,,,,,
macbook pro m3,22,Apple MacBook Pro 14-inch M3 Max Chip (Refurbished),https://www.google.com/shopping/product/2570671046548670890,2629.0,,4.8,4400,,,,,
macbook pro m3,23,Apple MacBook Pro M3 Pro - Electronics,,1425.0,,,,,,,,
macbook pro m3,24,"Apple MacBook Pro 2023 (M3) 14"" - Apple M3 chip: 8-core CPU/10-Core GPU - 1TB - Silver - 8GB RAM - Excellent - 2 Thunderbolts 4 ports Laptop - 12",,1234.97,,4.8,4400,,,,,
macbook pro m3,25,"MacBook Pro Late 2023 (M3) - 14"" - Black - 512 GB",,1306.0,,,,,,,,
macbook pro m3,26,"Apple 14"" MacBook Pro Space Gray 2023 Apple M3 4.05GHz 8GB RAM 512GB Nvme/ssd",,1160.99,,4.8,2000,,,,,
macbook pro m3,27,Apple Macbook Pro M3 A2991 (p23010214),,1799.99,,4.5,3800,,,,,
macbook pro m3,28,Apple MacBook Pro 14-inch M3 Pro with 11-Core CPU and 14-Core GPU (Late 2023),,1649.99,,4.8,4400,,,,,
macbook pro m3,29,"Apple 14"" MacBook Pro (M3, Silver)",,1799.0,,,,,,,,
macbook pro m3,30,"WakeWare 14-inch MacBook Pro: Apple M3 Pro 11-core CPU and 14-core GPU, 512GB SSD - Silver - Bundled with Safeware",,2081.0,,4.8,2000,,,,,
macbook pro m3,31,University of Alabama 16-Inch Macbook Pro M3 Pro Chip With 12-Core Cpu And 18-Core Gpu/18Gb Unified Memory in Silver size 512Gb,,1319.4,,,,,,,,
macbook pro m3,32,Apple MacBook Pro M3 18GB 512gb - Electronics,,1600.0,,,,,,,,
macbook pro m3,33,"14"" 2023, MacBook Pro, MTL73LL/A, Apple M3, 8GB, 512GB SSD, 10C Computer Overhauls",,974.95,,4.8,4400,,,,,
macbook pro m3,34,Apple MacBook Pro 2023 - Apple M3 Pro chip: 11-core CPU/14-Core GPU - 512GB - Space Black - 8GB RAM - Excellent - 3 Thunderbolts Laptop - 12 Months,,1427.99,,4.8,2000,,,,,
macbook pro m3,35,2023 Apple MacBook Pro 16-inch M3 Pro – Configurable & Customizable 18-Core GPU Up to 36GB RAM 4TB SSD Silver | Techable 18GB / 1TB / Excellent,,1949.0,,,,,,,,
macbook pro m3,36,Apple Macbook Pro M3 A2991 (p23009854),,1840.0,,,,,,,,
macbook pro m3,37,"Restored 16 inch MacBook Pro: Apple M3 Pro chip with 12?core CPU and 18?core Gpu, 18gb, 512gb SSD - Space Black (Refurbished), Size: Small, White",,1999.0,,,,,,,,
macbook pro m3,38,"Apple 16"" MacBook Pro (M3 Max, Silver)",,4599.0,,4.8,2000,,,,,
macbook pro m3,39,"14"" MacBook Pro: Apple M3 chip with 8-core CPU and 10-core GPU, 16GB, 1TB SSD - Silver",,1619.98,,4.8,4400,,,,,
macbook pro m3,40,University of Alabama 14-Inch Macbook Pro M3 8-Core Cpu And 10-Core Cpu/16Gb Unified Memory in Silver size 1Tb,,1499.0,,,,,,,,
macbook pro m4,1,Apple 14-inch MacBook Pro Apple M4 chip,https://www.google.com/shopping/product/5947334945777264212,1474.0,,4.8,449,,,,,
macbook pro m4,2,Apple MacBook Pro 16 M4,https://www.google.com/shopping/product/10185965861930766405,2499.0,,4.8,227,,,,,
macbook pro m4,3,"Apple 14"" MacBook Pro (M4 Pro, Space Black)",,1949.0,,,,,,,,
macbook pro m4,4,14-inch MacBook Pro M4 10 CPU / 10 GPU,,1499.0,,,,,,,,
macbook pro m4,5,"Apple MacBook Pro 14.2"" M4 Pro Chip (Late 2024)",https://www.google.com/shopping/product/5877103570751610208,2199.0,,4.9,307,,,,,
macbook pro m4,6,Apple MacBook Pro 16 M4 Max,https://www.google.com/shopping/product/5482574490125651778,2299.0,,4.8,220,,,,,
macbook pro m4,7,"Apple MacBookPro M4 PRO 14""",,1999.0,,,,,,,,
macbook pro m4,8,"Apple 14"" MacBook Pro (M4, Space Black)",,1999.0,,,,,,,,
macbook pro m4,9,"16-inch MacBook Pro with M4 Pro or Max - Nano-texture Display - Silver, M4 Pro with 14-core CPU / 20-core GPU / 24GB memory / 4TB Storage",,3849.0,,,,,,,,
macbook pro m4,10,"Apple MacBook Pro 16.2"" M4 Pro Chip (Late 2024)",https://www.google.com/shopping/product/6790205534318959423,3099.0,,,,,,,,
macbook pro m4,11,Apple 2024 MacBook Pro Laptop with M4 CPU GPU,https://www.google.com/shopping/product/2699063287735960452,2899.0,,4.8,449,,,,,
macbook pro m4,12,University of Alabama 16-Inch Macbook Pro M4 Pro Chip With 14-Core Cpu And 20-Core Gpu/48Gb Unified Memory in Silver size 512Gb,,2699.0,,,,,,,,
macbook pro m4,13,"Apple 16"" Macbook Pro (M4 Pro, Space Black)",,2899.0,,4.8,220,,,,,
macbook pro m4,14,16-inch MacBook Pro M4 Pro 14 CPU / 20 GPU,,2299.0,,,,,,,,
macbook pro m4,15,"Apple MacBook Pro 16.2"", M4 Pro Chip with 14-Core CPU and 20-Core GPU, Late 2024 Space Black Nano-Texture Display 48GB 2TB SSD",,3649.0,,,,,,,,
