query,position,title,link,price,currency,rating,reviews,store_name,store_rating,shipping,on_sale,original_price
macbook pro m3,40,Apple MacBook Pro 16-inch M3 Pro with 12-Core CPU and 18-Core GPU (Late 2023),,1889.99,,4.8,2000,,,,,
macbook pro m4,1,Apple 14-inch MacBook Pro Apple M4 chip,https://www.google.com/shopping/product/5947334945777264212,1474.0,,4.8,449,,,,,
macbook pro m4,2,Apple MacBook Pro 16 M4,https://www.google.com/shopping/product/10185965861930766405,2499.0,,4.8,227,,,,,
macbook pro m4,3,"Apple 14"" MacBook Pro (M4, Space Black)",,1999.0,,,,,,,,
macbook pro m4,4,14-inch MacBook Pro M4 10 CPU / 10 GPU,,1499.0,,,,,,,,
macbook pro m4,5,"Apple MacBook Pro 14.2"" M4 Pro Chip (Late 2024)",https://www.google.com/shopping/product/5877103570751610208,2199.0,,4.9,307,,,,,
macbook pro m4,6,University of Alabama 16-Inch Macbook Pro M4 Pro Chip With 14-Core Cpu And 20-Core Gpu/48Gb Unified Memory in Silver size 512Gb,,2699.0,,,,,,,,
macbook pro m4,7,"16-inch MacBook Pro with M4 Pro or Max - Standard Display - Silver, M4 Max with 16-core CPU / 40-core GPU / 128GB memory / 2TB Storage",,5399.0,,,,,,,,
macbook pro m4,8,"Sealed 2024 Apple Macbook Pro 14"" Space Black M4 Pro 14cpu 20gpu 24gb",,2599.99,,4.8,220,,,,,
macbook pro m4,9,Apple MacBook Pro - 14 - M4 Pro - 48 GB RAM - 512 GB SSD - Silver,,2419.99,,,,,,,,
macbook pro m4,10,Apple MacBook Pro - M4,,1965.0,,4.8,2000,,,,,
macbook pro m4,11,14-inch MacBook Pro - M4 Pro - Silver - Nano-Texture Glass 12-Core CPU and 16-Core GPU / 24GB / 512GB SSD / 96W USB-C Power Adapter,,2169.99,,4.8,449,,,,,
macbook pro m4,12,Apple MacBook Pro M4 16-Inch,,2299.0,,,,,,,,
macbook pro m4,13,"MacBook Pro M4 Pro 16-inch (2024) - 24GB RAM, 512GB SSD - Space Black - Apple - Apple",https://www.google.com/shopping/product/4986231429258893818,2534.96,,4.8,2000,,,,,
macbook pro m4,14,"Apple 16"" Macbook Pro M4 Pro",,2499.99,,,,,,,,
macbook pro m4,15,Apple MacBook Pro 16 M4 Max,https://www.google.com/shopping/product/5482574490125651778,2299.0,,4.8,220,,,,,
macbook pro m4,16,Apple 2024 MacBook Pro Laptop with M4 CPU GPU,https://www.google.com/shopping/product/2699063287735960452,2899.0,,4.8,449,,,,,
macbook pro m4,17,"Apple 14"" MacBook Pro (M4 Pro, Space Black)",,1949.0,,,,,,,,
macbook pro m4,18,"Apple 16"" Macbook Pro (M4 Pro, Space Black)",,2899.0,,4.8,220,,,,,
macbook pro m4,19,"Apple MacBook Pro 16.2"" M4 Pro Chip (Late 2024)",https://www.google.com/shopping/product/1096884525574119263,2699.0,,,,,,,,
macbook pro m4,20,"Apple 14"" MacBook Pro with Microsoft 365 Personal 1-Year License (M4 Pro, Space Black)",,1738.99,,4.8,449,,,,,
macbook pro m4,21,16-inch MacBook Pro M4 Pro 14 CPU / 20 GPU,,2299.0,,,,,,,,
macbook pro m4,22,"Apple MacBook Pro 16.2"", M4 Pro Chip with 14-Core CPU and 20-Core GPU, Late 2024 Space Black Nano-Texture Display 48GB 2TB SSD",,3649.0,,,,,,,,
macbook pro m4,23,"Apple 16"" Macbook Pro with Microsoft 365 Personal 1-Year License (M4 Pro, Space Black)",,2938.99,,4.8,220,,,,,
macbook pro m4,24,"Apple 16"" Macbook Pro (M4 Pro, Silver)",,3099.0,,,,,,,,
macbook pro m4,25,Apple Macbook Pro 14-inch Apple M4 Pro Chip Built For Apple,,3148.7,,4.8,449,,,,,
